time,open,high,low,close,volume
Mon Mar 01 09:00:00 GMT 2021,124.3,124.56,124.3,124.5,12267
Mon Mar 01 09:01:00 GMT 2021,124.56,124.6,124.3,124.3,9439
Mon Mar 01 09:02:00 GMT 2021,124.05,124.05,123.78,123.78,4834
Mon Mar 01 09:03:00 GMT 2021,123.77,123.78,123.72,123.78,1576
Mon Mar 01 09:04:00 GMT 2021,123.9,124.12,123.9,124,2814
Mon Mar 01 09:05:00 GMT 2021,124,124.05,123.9,124.05,7660
Mon Mar 01 09:06:00 GMT 2021,124.08,124.29,124,124,9077
Mon Mar 01 09:07:00 GMT 2021,124,124,124,124,4045
Mon Mar 01 09:08:00 GMT 2021,124.1,124.1,124.1,124.1,2735
Mon Mar 01 09:09:00 GMT 2021,124.1,124.1,124.05,124.1,2217
Mon Mar 01 09:10:00 GMT 2021,124.1,124.1,124.03,124.08,2214
Mon Mar 01 09:12:00 GMT 2021,124,124,123.94,124,11829
Mon Mar 01 09:13:00 GMT 2021,123.99,124,123.99,123.99,1161
Mon Mar 01 09:14:00 GMT 2021,124,124.05,123.94,124.05,4951
Mon Mar 01 09:15:00 GMT 2021,124.05,124.1,124.05,124.1,2440
Mon Mar 01 09:16:00 GMT 2021,124.1,124.11,124.1,124.1,3195
Mon Mar 01 09:17:00 GMT 2021,124,124.1,123.95,124.1,6993
Mon Mar 01 09:18:00 GMT 2021,124.03,124.03,123.98,123.98,1001
Mon Mar 01 09:19:00 GMT 2021,123.98,124,123.78,123.9,2616
Mon Mar 01 09:20:00 GMT 2021,123.85,123.89,123.83,123.83,2318
Mon Mar 01 09:23:00 GMT 2021,123.97,123.97,123.97,123.97,804
Mon Mar 01 09:24:00 GMT 2021,123.88,123.88,123.83,123.83,998
Mon Mar 01 09:25:00 GMT 2021,123.78,123.78,123.7,123.75,1958
Mon Mar 01 09:26:00 GMT 2021,123.78,123.82,123.75,123.82,1737
Mon Mar 01 09:30:00 GMT 2021,123.9,123.92,123.9,123.92,1203
Mon Mar 01 09:31:00 GMT 2021,123.94,123.96,123.94,123.96,608
Mon Mar 01 09:33:00 GMT 2021,123.92,123.92,123.9,123.9,653
Mon Mar 01 09:34:00 GMT 2021,123.9,123.9,123.86,123.86,1682
Mon Mar 01 09:35:00 GMT 2021,123.85,123.87,123.85,123.87,642
Mon Mar 01 09:38:00 GMT 2021,123.8,123.87,123.8,123.87,1331
Mon Mar 01 09:39:00 GMT 2021,123.93,123.94,123.93,123.93,2251
