time,open,high,low,close,volume
Mon May 03 12:00:00 BST 2021,340.71,340.74,340.67,340.7,3615
Mon May 03 14:00:00 BST 2021,340.39,340.5,340.39,340.5,3369
Mon May 03 14:15:00 BST 2021,340.52,340.78,340.52,340.78,2383
Mon May 03 14:30:00 BST 2021,340.79,341.21,340.58,341,138902
Mon May 03 15:00:00 BST 2021,341.83,341.95,341.24,341.3,248915
Mon May 03 15:15:00 BST 2021,341.29,341.68,341.21,341.47,139045
Mon May 03 15:30:00 BST 2021,341.49,341.97,341.47,341.78,126238
Mon May 03 15:45:00 BST 2021,341.74,341.93,341.4,341.64,103832
Mon May 03 16:00:00 BST 2021,341.64,341.71,341.28,341.7,111238
Mon May 03 16:15:00 BST 2021,341.71,341.93,341.67,341.79,76920
Mon May 03 16:30:00 BST 2021,341.81,342.18,341.75,342.16,119869
Mon May 03 16:45:00 BST 2021,342.16,342.18,341.77,341.85,71000
Mon May 03 17:00:00 BST 2021,341.84,341.84,341.543,341.6079,41634
Mon May 03 17:15:00 BST 2021,341.6,341.64,341.47,341.57,47927
Mon May 03 17:30:00 BST 2021,341.52,341.64,341.45,341.585,32825
Mon May 03 17:45:00 BST 2021,341.56,341.69,341.45,341.65,66147
Mon May 03 18:00:00 BST 2021,341.69,341.71,341.4801,341.55,26899
Mon May 03 18:15:00 BST 2021,341.54,341.63,341.34,341.48,91806
Mon May 03 18:30:00 BST 2021,341.46,341.57,341.4299,341.43,26945
Mon May 03 18:45:00 BST 2021,341.44,341.51,341.38,341.46,27432
Mon May 03 19:00:00 BST 2021,341.5,341.58,341.45,341.535,66411
Mon May 03 19:15:00 BST 2021,341.55,341.71,341.44,341.65,38138
Mon May 03 19:30:00 BST 2021,341.67,341.89,341.65,341.7,45147
Mon May 03 19:45:00 BST 2021,341.7098,341.85,341.68,341.735,57445
Mon May 03 20:00:00 BST 2021,341.73,341.73,341.47,341.55,55812
Mon May 03 20:15:00 BST 2021,341.545,341.55,341.36,341.46,52872
Mon May 03 20:30:00 BST 2021,341.43,341.48,341.24,341.33,73287
Mon May 03 20:45:00 BST 2021,341.32,341.34,340.84,341.11,179830
Mon May 03 21:00:00 BST 2021,341.12,341.16,340.88,340.94,4815
Mon May 03 21:30:00 BST 2021,340.94,341.05,340.94,341.05,632
