time,open,high,low,close,volume
Mon May 03 14:30:00 BST 2021,143.81,144.44,143.55,144.36,429683
Mon May 03 14:45:00 BST 2021,144.4,145.42,144.375,145.12,791525
Mon May 03 15:00:00 BST 2021,145.06,145.17,143.89,143.93,425128
Mon May 03 15:15:00 BST 2021,143.95,144.09,143.655,143.93,131020
Mon May 03 15:30:00 BST 2021,143.91,144.12,143.815,143.92,172172
Mon May 03 15:45:00 BST 2021,143.9,144.37,143.83,144.35,137330
Mon May 03 16:00:00 BST 2021,144.36,144.38,143.95,144.11,130781
Mon May 03 16:15:00 BST 2021,144.11,144.49,143.99,144.47,137802
Mon May 03 16:30:00 BST 2021,144.47,144.75,144.39,144.62,148867
Mon May 03 16:45:00 BST 2021,144.65,144.77,144.49,144.66,136680
Mon May 03 17:00:00 BST 2021,144.66,144.799,144.515,144.79,82888
Mon May 03 17:15:00 BST 2021,144.78,144.85,144.5,144.706,90891
Mon May 03 17:30:00 BST 2021,144.69,144.86,144.64,144.83,66204
Mon May 03 17:45:00 BST 2021,144.85,144.92,144.78,144.835,61944
Mon May 03 18:00:00 BST 2021,144.84,144.855,144.64,144.78,72072
Mon May 03 18:15:00 BST 2021,144.8,145.07,144.8,145.05,69269
Mon May 03 18:30:00 BST 2021,145.06,145.2,144.9766,145.05,101466
Mon May 03 18:45:00 BST 2021,145.055,145.18,144.98,145.17,64655
Mon May 03 19:00:00 BST 2021,145.1757,145.25,145.05,145.1,168255
Mon May 03 19:15:00 BST 2021,145.11,145.5,145.11,145.42,187691
Mon May 03 19:30:00 BST 2021,145.41,145.505,145.33,145.5,150505
Mon May 03 19:45:00 BST 2021,145.51,145.75,145.5,145.535,145341
Mon May 03 20:00:00 BST 2021,145.55,145.57,145.25,145.35,145799
Mon May 03 20:15:00 BST 2021,145.34,145.465,145.19,145.365,136151
Mon May 03 20:30:00 BST 2021,145.35,145.51,145.11,145.18,235699
Mon May 03 20:45:00 BST 2021,145.18,145.2,144.66,144.75,405299
Mon May 03 21:00:00 BST 2021,144.75,144.81,143.75,144.81,113756
